Brand,Slug,Source,# Levers,Banner,Free Ship Threshold ($),Subscribe & Save %,Sale Collection,Sale Coll Count,Sale Coll Avg Discount %,Catalog Scan: On Sale,Catalog Scan: Scanned,Catalog Scan: Avg %,Catalog Scan: Max %,Levers (joined),Scraped At
OddBalls,oddballs,live,2,60% OFF SITEWIDE,,,,,,102,250,25,70,"Currently 102 products on sale (41% of recent inventory) — average discount 25% off list, up to 70% off. If this SKU has compare_at_price set, the markdown is already applied. || Current site-wide promotion: ""60% OFF SITEWIDE""",2026-05-08
OFRA Cosmetic,ofra-cosmetic,live,2,Always FREE shipping on domestic $50+ orders!,50,,sale,7,31,1,250,25,25,"Free shipping on orders $50+ (current store policy) || Currently 31% off across 7 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Olipop,olipop,live,2,30% off subscriptions when you resubscribe with code 30RESUB .,,,,,,1,62,5,5,"Currently 1 products on sale (2% of recent inventory) — average discount 5% off list, up to 5% off. If this SKU has compare_at_price set, the markdown is already applied. || Current site-wide promotion: ""30% off subscriptions when you resubscribe with code 30RESUB .""",2026-05-08
Onewheel,onewheel,live,1,GT Sale: Save up to $500 | Shop Now,,,,,,,,,,"Current site-wide promotion: ""GT Sale: Save up to $500 | Shop Now""",2026-05-08
OnlinePrasad,onlineprasad,live,2,"70%
off",,,,,,64,250,49,51,"Currently 64 products on sale (26% of recent inventory) — average discount 49% off list, up to 51% off. If this SKU has compare_at_price set, the markdown is already applied. || Current site-wide promotion: ""70%
off""",2026-05-08
Only NY,only-ny,live,2,FREE US SHIPPING ON ORDERS OVER $200,200,,sale,50,52,96,250,41,71,"Free shipping on orders $200+ (current store policy) || Currently 52% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Out of Print,out-of-print,live,2,Up to 50% OFF Select Items>,,,sale,50,40,4,250,38,50,"Currently 40% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: ""Up to 50% OFF Select Items>""",2026-05-08
Out of the Sandbox,out-of-the-sandbox,live,1,""" style=""object-fit:cover;object-position:50.0% 50.0%;"" >",,,,,,,,,,"Current site-wide promotion: """" style=""object-fit:cover;object-position:50.0% 50.0%;"" >""",2026-05-08
Outdoor Voices,outdoor-voices,live,2,"section-promo-bar[data-active-index=""0""] { background: #000f9f; color: #ffffff; } Free Shipping on orders $100+",100,,,,,46,250,51,72,"Free shipping on orders $100+ (current store policy) || Currently 46 products on sale (18% of recent inventory) — average discount 51% off list, up to 72% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
Paramount Shop,paramount-shop,live,2,SIGN UP FOR OUR NEWSLETTER AND SAVE 15% - SUBSCRIBE NOW,,,sale,43,39,,,,,"Currently 39% off across 43 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: ""SIGN UP FOR OUR NEWSLETTER AND SAVE 15% - SUBSCRIBE NOW""",2026-05-08
Partake Foods,partake-foods,live,0,,,,,,,,,,,,2026-05-08
Peakdesign,peakdesign,live,2,Free shipping on orders over $100,100,,last-call,3,50,197,250,13,70,"Free shipping on orders $100+ (current store policy) || Currently 50% off across 3 products in our 'last-call' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Peel,peel,live,1,,,,,,,245,250,21,74,"Currently 245 products on sale (98% of recent inventory) — average discount 21% off list, up to 74% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
Pimax,pimax,live,1,,,,deals,11,33,24,93,28,82,"Currently 33% off across 11 products in our 'deals' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Pipcorn,pipcorn,live,1,free shipping on orders over $30,30,,,,,,,,,Free shipping on orders $30+ (current store policy),2026-05-08
PITAKA,pitaka,live,1,,,,,,,9,52,50,83,"Currently 9 products on sale (17% of recent inventory) — average discount 50% off list, up to 83% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
PRESS Healthfoods,press-healthfoods,live,2,Free Delivery on all UK Orders over £50,50,,,,,13,150,17,26,"Free shipping on orders $50+ (current store policy) || Currently 13 products on sale (9% of recent inventory) — average discount 17% off list, up to 26% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
Pura Vida Bracelets,pura-vida-bracelets,live,1,,,,sale,50,30,69,250,30,30,"Currently 30% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Q-See,q-see,live,2,Explore 2-Way Video Talk Ares SE: $20 Off Now Shop Now,,,,,,9,13,18,57,"Currently 9 products on sale (69% of recent inventory) — average discount 18% off list, up to 57% off. If this SKU has compare_at_price set, the markdown is already applied. || Current site-wide promotion: ""Explore 2-Way Video Talk Ares SE: $20 Off Now Shop Now""",2026-05-08
Quay Australia,quay-australia,live,1,,,,sale,12,44,20,176,48,69,"Currently 44% off across 12 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Qwerkywriter,qwerkywriter,live,2,FREE SHIPPING $200+ US CONTINENTAL,200,,,,,17,32,23,47,"Free shipping on orders $200+ (current store policy) || Currently 17 products on sale (53% of recent inventory) — average discount 23% off list, up to 47% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
Race Day Quads,race-day-quads,live,2,free shipping,,,clearance,50,44,,,,,"Free shipping (per current site banner: 'free shipping') || Currently 44% off across 50 products in our 'clearance' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Rad Power Bikes,rad-power-bikes,live,1,,,,,,,18,155,19,33,"Currently 18 products on sale (12% of recent inventory) — average discount 19% off list, up to 33% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
Radha Beauty,radha-beauty,live,1,,,,,,,9,45,21,56,"Currently 9 products on sale (20% of recent inventory) — average discount 21% off list, up to 56% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
RAGS,rags,live,1,,,,,,,87,209,42,72,"Currently 87 products on sale (42% of recent inventory) — average discount 42% off list, up to 72% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
RDKLU,rdklu,live,2,Free shipping On all orders.,,,sale,24,31,229,250,33,66,"Free shipping (per current site banner: 'Free shipping On all orders.') || Currently 31% off across 24 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Rebecca Minkoff,rebecca-minkoff,live,1,,,,sale,50,63,141,250,56,80,"Currently 63% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Regal Rose,regal-rose,live,2,FREE delivery,,,sale,43,41,4,250,45,50,"Free shipping (per current site banner: 'FREE delivery') || Currently 41% off across 43 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Renee Rouleau,renee-rouleau,live,2,"Get Free Shipping. US ($125+), UK & CA ($150+ USD)",125,,,,,8,84,31,59,"Free shipping on orders $125+ (current store policy) || Currently 8 products on sale (10% of recent inventory) — average discount 31% off list, up to 59% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
